faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,limiar,fator,classe,fracao_excluida,delta_e00
0,0,600,3800,1.5,sem,24.0,0.5,vermelho,0.986301369863,18.4239341287
0,0,600,3800,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,600,3800,1.5,campo,24.0,0.5,azul,0.904422253923,3.37275448204
0,0,600,3800,1.5,campo,24.0,0.5,vermelho,0.986301369863,4.24132914267
0,0,800,2700,0.4,sem,24.0,0.5,amarelo,0.0,24.3423753533
0,0,800,2700,0.4,sem,24.0,0.5,azul,0.904422253923,42.7992494863
0,0,800,2700,0.4,sem,24.0,0.5,vermelho,0.123287671233,12.6445286469
0,0,800,2700,0.4,campo,24.0,0.5,amarelo,0.0,0.349020828745
0,0,800,2700,0.4,campo,24.0,0.5,azul,0.904422253923,0.2487652714
0,0,800,2700,0.4,campo,24.0,0.5,vermelho,0.123287671233,0.24024532062
0,0,800,2700,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,800,2700,1.0,sem,24.0,0.5,azul,0.904422253923,40.258932338
0,0,800,2700,1.0,sem,24.0,0.5,vermelho,0.986301369863,19.4923333159
0,0,800,2700,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,800,2700,1.0,campo,24.0,0.5,azul,0.904422253923,3.21906159544
0,0,800,2700,1.0,campo,24.0,0.5,vermelho,0.986301369863,3.63553273996
0,0,800,2700,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,800,2700,1.5,sem,24.0,0.5,azul,0.904422253923,42.6428340093
0,0,800,2700,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,800,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,800,2700,1.5,campo,24.0,0.5,azul,0.904422253923,3.29644603209
0,0,800,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,800,3200,0.4,sem,24.0,0.5,amarelo,0.0,22.0263216476
0,0,800,3200,0.4,sem,24.0,0.5,azul,0.904422253923,34.7242540135
0,0,800,3200,0.4,sem,24.0,0.5,vermelho,0.123287671233,12.8338818937
0,0,800,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.416358491219
0,0,800,3200,0.4,campo,24.0,0.5,azul,0.904422253923,0.227735640312
0,0,800,3200,0.4,campo,24.0,0.5,vermelho,0.123287671233,0.460704526355
0,0,800,3200,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,800,3200,1.0,sem,24.0,0.5,azul,0.904422253923,28.6396938359
0,0,800,3200,1.0,sem,24.0,0.5,vermelho,0.986301369863,14.8474724045
0,0,800,3200,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,800,3200,1.0,campo,24.0,0.5,azul,0.904422253923,0.868277666045
0,0,800,3200,1.0,campo,24.0,0.5,vermelho,0.986301369863,0.65937331418
0,0,800,3200,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,800,3200,1.5,sem,24.0,0.5,azul,0.904422253923,30.2214843832
0,0,800,3200,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,800,3200,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,800,3200,1.5,campo,24.0,0.5,azul,0.904422253923,3.79908108775
0,0,800,3200,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,800,3800,0.4,sem,24.0,0.5,amarelo,0.0,20.5623964111
0,0,800,3800,0.4,sem,24.0,0.5,azul,0.904422253923,28.439369963
0,0,800,3800,0.4,sem,24.0,0.5,vermelho,0.123287671233,13.8201939758
0,0,800,3800,0.4,campo,24.0,0.5,amarelo,0.0,0.349258044351
0,0,800,3800,0.4,campo,24.0,0.5,azul,0.904422253923,0.164648962387
0,0,800,3800,0.4,campo,24.0,0.5,vermelho,0.123287671233,0.417153812931
0,0,800,3800,1.0,sem,24.0,0.5,amarelo,0.994694960212,12.5572495558
0,0,800,3800,1.0,sem,24.0,0.5,azul,0.904422253923,18.5433241082
0,0,800,3800,1.0,sem,24.0,0.5,vermelho,0.972602739726,11.3573549967
0,0,800,3800,1.0,campo,24.0,0.5,amarelo,0.994694960212,0.0
0,0,800,3800,1.0,campo,24.0,0.5,azul,0.904422253923,0.152884959148
0,0,800,3800,1.0,campo,24.0,0.5,vermelho,0.972602739726,0.517657075598
0,0,800,3800,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,800,3800,1.5,sem,24.0,0.5,azul,0.904422253923,19.953436119
0,0,800,3800,1.5,sem,24.0,0.5,vermelho,0.986301369863,17.6905055038
0,0,800,3800,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,800,3800,1.5,campo,24.0,0.5,azul,0.904422253923,3.3072851316
0,0,800,3800,1.5,campo,24.0,0.5,vermelho,0.986301369863,3.8480480489
0,1,0,2700,0.4,sem,24.0,0.5,amarelo,0.0,24.3263511152
0,1,0,2700,0.4,sem,24.0,0.5,azul,0.896551724138,42.7274592721
0,1,0,2700,0.4,sem,24.0,0.5,vermelho,0.21875,11.547625614
0,1,0,2700,0.4,campo,24.0,0.5,amarelo,0.0,0.344531208935
0,1,0,2700,0.4,campo,24.0,0.5,azul,0.896551724138,0.272571866596
0,1,0,2700,0.4,campo,24.0,0.5,vermelho,0.21875,0.210466596594
0,1,0,2700,1.0,sem,24.0,0.5,amarelo,1.0,
0,1,0,2700,1.0,sem,24.0,0.5,azul,0.896551724138,40.0027238131
0,1,0,2700,1.0,sem,24.0,0.5,vermelho,1.0,
0,1,0,2700,1.0,campo,24.0,0.5,amarelo,1.0,
0,1,0,2700,1.0,campo,24.0,0.5,azul,0.896551724138,3.38274421967
0,1,0,2700,1.0,campo,24.0,0.5,vermelho,1.0,
0,1,0,2700,1.5,sem,24.0,0.5,amarelo,1.0,
0,1,0,2700,1.5,sem,24.0,0.5,azul,0.896551724138,42.1793893268
0,1,0,2700,1.5,sem,24.0,0.5,vermelho,1.0,
0,1,0,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,1,0,2700,1.5,campo,24.0,0.5,azul,0.896551724138,2.81093642044
0,1,0,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,1,0,3200,0.4,sem,24.0,0.5,amarelo,0.0,21.9778299379
0,1,0,3200,0.4,sem,24.0,0.5,azul,0.896551724138,34.8851953597
0,1,0,3200,0.4,sem,24.0,0.5,vermelho,0.21875,12.3418848808
